,Bam_file,CODING_BASES,CORRECT_STRAND_READS,DX,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,NUM_R1_TRANSCRIPT_STRAND_READS,NUM_R2_TRANSCRIPT_STRAND_READS,NUM_UNEXPLAINED_READS,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_R1_TRANSCRIPT_STRAND_READS,PCT_R2_TRANSCRIPT_STRAND_READS,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RINe,TIN(mean),TIN(median),TIN(stdev),UTR_BASES,extraction,final_freeze_thaw,is_polyA
S46_numsort,S46_numsort.bam,628545759.0,222004.0,ASD-2,0.0,19992701.0,156077650.0,159085793.0,0.571642,0.01108,0.02386,0.655553,214088.0,19975823.0,24794.0,0.45386,0.010982,0.1127,0.114873,0.772427,0.010604,0.989396,0.761617,0.318567,1384889983.0,1404545851.0,8.7,73.1285576226,76.2347509135,11.8234977086,441180781.0,polyA,2,1.0
S47_numsort,S47_numsort.bam,593149377.0,199770.0,TD-2,0.0,18918052.0,110699626.0,120850452.0,0.559776,0.010603,0.022968,0.638472,196827.0,18902243.0,18752.0,0.480296,0.010449,0.089638,0.097857,0.812505,0.010306,0.989694,0.80216,0.332209,1234966116.0,1250892378.0,9.0,71.6500694286,75.0203395019,12.6402280595,410266661.0,polyA,1,1.0
S48_numsort,S48_numsort.bam,669888437.0,289791.0,ASD-1,0.0,20971424.0,134927715.0,167755572.0,0.486954,0.016852,0.04169,0.625581,285610.0,20954395.0,21210.0,0.471438,0.01363,0.094956,0.118059,0.786985,0.013447,0.986553,0.77609,0.315546,1420946184.0,1440894167.0,9.0,73.7952771093,76.9105429669,12.0801386166,448374460.0,polyA,1,1.0
S49_numsort,S49_numsort.bam,72811459.0,38771.0,ASD-1,0.0,15524002.0,539672750.0,232696825.0,0.531245,0.005976,0.005589,0.713853,38010.0,15460853.0,63910.0,0.046108,0.002491,0.341749,0.147356,0.510895,0.002452,0.997548,0.499188,0.464787,1579147540.0,1616180737.0,8.1,57.3062847287,59.29693689,14.0808856656,733966506.0,polyA,2,1.0
S4_numsort,S4_numsort.bam,486912910.0,166178.0,ASD-1,0.0,15227015.0,126412602.0,106277798.0,0.494927,0.007409,0.014279,0.638651,163657.0,15214147.0,15389.0,0.467612,0.010796,0.121402,0.102065,0.776533,0.010642,0.989358,0.765625,0.308922,1041276173.0,1056111600.0,8.7,71.2121736275,74.4241555599,12.8575111081,321672863.0,polyA,1,1.0
S50_numsort,S50_numsort.bam,1383477221.0,328196.0,ASD-3,0.0,42916858.0,320439065.0,339083517.0,0.489718,0.009932,0.026265,0.653299,319332.0,42882646.0,43076.0,0.47096,0.007589,0.109083,0.11543,0.775487,0.007392,0.992608,0.765128,0.304527,2937569354.0,2977339455.0,8.8,74.507506559,77.7154967221,11.9053189706,894569551.0,polyA,1,1.0
S51_numsort,S51_numsort.bam,273734960.0,71625.0,TD-3,0.0,8660646.0,65423812.0,74745182.0,0.498083,0.009585,0.020281,0.65726,69873.0,8653242.0,9156.0,0.455892,0.008202,0.10896,0.124484,0.766556,0.00801,0.99199,0.756154,0.310664,600438821.0,608698397.0,8.8,69.1991636779,72.2638843746,12.700235776,186534867.0,polyA,1,1.0
S52_numsort,S52_numsort.bam,997613470.0,237495.0,TD-2,0.0,30331234.0,210682792.0,256683979.0,0.48537,0.010256,0.025919,0.645743,231918.0,30305203.0,31608.0,0.479925,0.007769,0.101354,0.123484,0.775162,0.007595,0.992405,0.765356,0.295237,2078684242.0,2105318907.0,8.7,73.9607866231,77.1302795454,12.0222618897,613704001.0,polyA,2,1.0
S53_numsort,S53_numsort.bam,418006541.0,109043.0,ASD-3,0.0,12758659.0,93449330.0,95689477.0,0.486037,0.012816,0.026962,0.653779,106576.0,12748179.0,12947.0,0.482082,0.008474,0.107774,0.110358,0.781868,0.008291,0.991709,0.770838,0.299786,867085755.0,879493273.0,8.8,71.1887448439,74.4415495658,12.3329330499,259940407.0,polyA,1,1.0
S54_numsort,S54_numsort.bam,774896085.0,180078.0,TD-1,0.0,24048804.0,175861101.0,208548027.0,0.485695,0.010582,0.027071,0.645921,177501.0,24028612.0,22769.0,0.466427,0.007432,0.105855,0.12553,0.768616,0.007333,0.992667,0.758609,0.302189,1661346012.0,1683261689.0,8.9,73.9744765049,77.1331987703,11.9768801631,502040799.0,polyA,1,1.0
S55_numsort,S55_numsort.bam,515445054.0,122897.0,ASD-1,0.0,16047688.0,109247096.0,128650230.0,0.479804,0.012003,0.028791,0.644474,119656.0,16034467.0,16462.0,0.473783,0.0076,0.100417,0.118252,0.781331,0.007407,0.992593,0.770149,0.307548,1087935134.0,1103732313.0,9.0,72.2704582031,75.448769057,12.2544154527,334592754.0,polyA,1,1.0
S56_numsort,S56_numsort.bam,765231775.0,239587.0,Clontech-2,0.0,21697342.0,125159134.0,82859681.0,0.545533,0.015678,0.035865,0.676438,236235.0,21676280.0,24414.0,0.571719,0.010922,0.093509,0.061906,0.844585,0.010781,0.989219,0.82912,0.272866,1338475769.0,1363442088.0,7.5,68.515401092,72.0738385835,13.0399391715,365225179.0,polyA,5,1.0
S5_numsort,S5_numsort.bam,426433984.0,168384.0,TD-2,0.0,13456353.0,79195903.0,91806407.0,0.52764,0.009672,0.021747,0.627642,166379.0,13445255.0,13103.0,0.481381,0.012359,0.0894,0.103636,0.806964,0.012223,0.987777,0.795811,0.325583,885855437.0,898269665.0,8.9,70.6485430591,73.9453864694,12.9672734743,288419143.0,polyA,1,1.0
S6_numsort,S6_numsort.bam,1056547762.0,385557.0,Clontech-2,0.0,35334301.0,325770957.0,136251452.0,0.975104,0.005582,0.005773,0.819129,381699.0,35238657.0,99502.0,0.458437,0.010794,0.141352,0.05912,0.799528,0.010716,0.989284,0.782167,0.341091,2304672405.0,2355828085.0,7.3,53.3153637637,55.2574467361,15.7726822379,786102234.0,polyA,5,1.0
S7_numsort,S7_numsort.bam,676870632.0,170259.0,Clontech-2,0.0,19748775.0,119372932.0,72684454.0,0.607996,0.005492,0.009913,0.691689,167589.0,19724029.0,27416.0,0.555431,0.008548,0.097956,0.059644,0.8424,0.008425,0.991575,0.831322,0.286969,1218640008.0,1234879385.0,7.5,63.7222469844,67.0992904427,14.1119477514,349711990.0,polyA,5,1.0
S8_numsort,S8_numsort.bam,509927070.0,271275.0,TD-2,0.0,15653603.0,110083737.0,124421099.0,0.535053,0.015791,0.031912,0.634179,268167.0,15640444.0,16267.0,0.474419,0.017035,0.102418,0.115757,0.781825,0.016857,0.983143,0.767962,0.307406,1074846097.0,1094248010.0,8.5,72.9789426247,76.2317523709,12.1893589995,330414191.0,polyA,2,1.0
S9_numsort,S9_numsort.bam,387191525.0,159661.0,TD-3,0.0,13378512.0,109702552.0,75452087.0,0.811018,0.007199,0.010807,0.786297,156634.0,13369181.0,12358.0,0.427914,0.011793,0.121241,0.083388,0.795372,0.01158,0.98842,0.781602,0.367457,904834053.0,920774686.0,8.3,62.3480586254,65.0862954178,13.3628784491,332487889.0,polyA,1,1.0
A3J9C,trim_Sample_A3J9C_1.fq.sort.bam.bam,594872481.0,612553.0,TD,0.0,27932698.0,363883552.0,430523272.0,0.518491,0.223952,0.458935,0.483432,297537.0,13914050.0,54916.0,0.248593,0.021459,0.152065,0.179913,0.668023,0.020936,0.979064,0.653138,0.419429,2392955126.0,2447488099.0,8.2,79.831806287,82.9893624938,11.5895094671,1003675821.0,riboDep,1,0.0
A3W6D,,,,ASD,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,2,
A5G5M,trim_Sample_A5G5M_1.fq.sort.bam.bam,697263908.0,287182.0,ASD,0.0,25551663.0,219212103.0,713218171.0,0.569025,0.175126,0.350313,0.465543,127962.0,12700579.0,78674.0,0.295676,0.011114,0.092957,0.302441,0.604602,0.009975,0.990025,0.590056,0.308926,2358206564.0,2416340071.0,7.0,81.2007204421,84.1653336902,10.8717441147,728512382.0,riboDep,2,0.0
A8N8M,trim_Sample_A8N8M_1.fq.sort.bam.bam,769529132.0,694341.0,TD,0.0,28485681.0,194527142.0,538600721.0,0.550585,0.217988,0.411765,0.478466,333965.0,14162095.0,83233.0,0.320832,0.023795,0.081102,0.224554,0.694344,0.023038,0.976962,0.678589,0.373511,2398538649.0,2454226691.0,8.0,80.6268954256,84.1033352555,11.8495496229,895881654.0,riboDep,1,0.0
B4Z9C,trim_Sample_B4Z9C_1.fq.sort.bam.bam,702940788.0,397177.0,,0.0,25754657.0,189368321.0,719303362.0,0.526639,0.195864,0.421416,0.481365,187811.0,12817439.0,61762.0,0.296873,0.015187,0.079976,0.303783,0.616241,0.014441,0.985559,0.600661,0.319368,2367818336.0,2429234064.0,9.0,80.9271867967,83.9174311524,10.9064305379,756205865.0,riboDep,2,0.0
B8Z4F,trim_Sample_B8Z4F_1.fq.sort.bam.bam,721058217.0,773139.0,,0.0,26963510.0,196979242.0,611657864.0,0.537113,0.186512,0.402391,0.481222,376469.0,13419466.0,60604.0,0.305114,0.027874,0.083351,0.258821,0.657827,0.027288,0.972712,0.640032,0.352714,2363243077.0,2428950102.0,8.0,80.553943238,83.728244986,11.2681807963,833547754.0,riboDep,2,0.0
